Учетный день,Количество гостей,"Сумма без скидки, р.","Средняя выручка с гостя, р."
01.10.2020,421,1356.64,3.19
02.10.2020,389,1238.60,3.15
03.10.2020,221,729.54,3.27
04.10.2020,109,339.01,3.07
05.10.2020,373,1177.09,3.12
06.10.2020,393,1161.12,2.87
07.10.2020,454,1478.65,3.18
08.10.2020,421,1397.12,3.26
09.10.2020,320,1002.55,3.09
10.10.2020,296,939.53,3.16
11.10.2020,137,468.50,3.38
12.10.2020,380,1192.59,3.09
13.10.2020,361,1102.04,2.94
14.10.2020,357,1154.05,3.14
15.10.2020,402,1250.12,3.09
16.10.2020,374,1175.55,2.99
17.10.2020,262,906.55,3.43
18.10.2020,108,354.51,3.25
19.10.2020,453,1424.60,2.91
20.10.2020,432,1360.11,3.09
21.10.2020,383,1185.61,3.07
22.10.2020,379,1178.57,3.03
23.10.2020,333,1053.58,3.12
24.10.2020,206,672.02,3.19
25.10.2020,96,353.02,3.66
26.10.2020,332,1071.06,3.19
27.10.2020,367,1158.06,3.05
28.10.2020,377,1158.58,2.94
29.10.2020,348,1073.62,2.97
30.10.2020,326,953.13,2.88
31.10.2020,213,820.50,3.33
01.11.2020,130,454.52,3.47
02.11.2020,341,1067.55,3.11
03.11.2020,327,992.56,2.95
04.11.2020,287,914.06,3.15
05.11.2020,327,1035.63,3.11
06.11.2020,304,969.00,3.17
07.11.2020,164,561.03,3.38
08.11.2020,101,372.51,3.65
09.11.2020,293,973.06,3.30
10.11.2020,364,1230.56,3.36
11.11.2020,309,975.58,3.14
12.11.2020,295,934.03,3.15
13.11.2020,324,1252.07,3.19
14.11.2020,171,551.52,3.19
15.11.2020,77,239.50,2.88
16.11.2020,285,901.58,3.05
17.11.2020,348,1065.51,2.74
18.11.2020,229,740.02,3.16
19.11.2020,268,815.58,3.00
20.11.2020,258,786.56,2.98
21.11.2020,171,548.02,3.18
22.11.2020,79,274.02,3.39
23.11.2020,283,844.51,2.95
24.11.2020,257,815.08,3.11
25.11.2020,269,885.06,3.27
26.11.2020,283,871.57,3.00
27.11.2020,458,1608.51,2.28
28.11.2020,162,521.52,3.12
29.11.2020,64,218.51,3.32
30.11.2020,311,855.09,2.68
01.12.2020,273,1002.13,3.59
02.12.2020,254,967.08,3.70
03.12.2020,224,856.10,3.67
04.12.2020,257,946.09,3.60
05.12.2020,138,607.06,4.25
06.12.2020,42,167.01,3.98
07.12.2020,244,932.05,3.76
08.12.2020,245,902.08,3.67
09.12.2020,212,786.10,3.60
10.12.2020,217,856.04,3.90
11.12.2020,233,847.06,3.49
12.12.2020,146,657.02,4.47
13.12.2020,65,235.02,3.49
14.12.2020,241,921.06,3.70
15.12.2020,249,1017.07,4.03
16.12.2020,220,863.08,3.84
17.12.2020,258,965.13,3.66
18.12.2020,226,910.07,3.93
19.12.2020,181,727.02,3.85
20.12.2020,61,242.00,3.87
21.12.2020,205,809.12,3.88
